,,,,,,Incorrect,Correct(ed),Fixed Error,Unable to Identify,Calculate OZ into lbs >,21.00,1.31,< lbs in % will appear here,CA Shipment Complete,In BC,Sent Eshp,Sent Rutherford,Val. Ent. Compl.,,,,,,,,$0.00,,,,,,,,,,,,,,
POA,Notes,Date Processed,Congsinee ID No.,Content Photo Link,Label Photo Link,Shipment ID,Consignee Name,Consignee Address1,Consignee Address2,Consignee City,Consignee Province,Consignee Postal Code,Product Number,Product Description,Quantity,Price,Total Price,Country of Origin,HS Code,Net Weight,Weight Unit,Number of Packages,Currency,Package ID,PARS No.,b2m_wlr_imp_code,Importer Name,Importer Address 1',Importer Address 2,Importer City,Importer Province,Importer Postal Code,Importer Business No.,Vendor Name,Vendor Address1,Vendor Address2,Vendor City,Vendor State,Vendor Country,Packaging Unit
NO,,08/07/19,1748,https://drive.google.com/open?id=10fO3HE7ka5dFFikqXROL7QK8PuqlLC5k,https://drive.google.com/open?id=1IHmvv804bBri6Omuq0X9gLkXu1BMs5xX,1748_080719_28,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$72.95,72.95,CN,9814,0.25,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/07/19,1748,https://drive.google.com/open?id=1sPg0l87_asAS7UDXf50BJHZlGdAdSDb1,https://drive.google.com/open?id=17K_B697wD7_4gXx9NG6GgYazJU5gvM2h,1748_080719_29,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - JJ Malibu Apparel,5,$6.59,32.95,CN,9814,0.88,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,1748,https://drive.google.com/open?id=1MiQ1Vm2bEgHtFuHZF-aBQJLbB5wyfq23,https://drive.google.com/open?id=1bNR1RQ41RJezE08zsO8WuTSxezWuzjNE,1748_080819_25,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$18.95,18.95,CN,9814,0.31,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,1748,https://drive.google.com/open?id=16m8Cn4Zop-JaT5_foNCImewQE5y6Z1QP,https://drive.google.com/open?id=16oe2gLeYoTHwJcEbaRlixWDFgclRKrLB,1748_080819_26,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - JJ Malibu Apparel,1,$6.95,6.95,CN,9814,0.25,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,1748,https://drive.google.com/open?id=1wEDAfFrRZUnHEP4WuBoUhvfC_zHLGRKj,https://drive.google.com/open?id=1GX1Twoj2_-F3QLGat43WXzPm_wgjvGcV,1748_080819_27,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jogging Pants,1,$38.95,38.95,CN,9814,0.44,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,1748,https://drive.google.com/open?id=16OrwYpAGCkaVWq3WI2VltE601Vd1bGWv,https://drive.google.com/open?id=1udV6FWgBGMRYysJe7-BZa7gJCTGCsh8u,1748_080819_28,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - JJ Malibu Apparel,2,$8.48,16.95,CN,9814,0.56,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/08/19,1748,https://drive.google.com/open?id=1M2aBfIUQvUkQdDYmXCcSzgUp4_tnMA0Z,https://drive.google.com/open?id=1k7YYZxpQz9-NcBD84nx7A-l1lq60D1rf,1748_080819_29,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$10.95,10.95,CN,9814,0.38,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/09/19,1748,https://drive.google.com/open?id=1J53DdglMmNLHGqL5SphFwuBQV3lVqKoK,https://drive.google.com/open?id=172-VSINB0gPYCdtbDz39aAm4I4czjLHg,1748_080919_7,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$17.95,17.95,CN,9814,0.25,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/09/19,1748,https://drive.google.com/open?id=113tVHe4fW3aocm6UeIkOFJVrCmyuhnCR,https://drive.google.com/open?id=1fbSpwYX8Y-eJsXPimIniMG3afyk6LbpG,1748_080919_8,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - JJ Malibu Apparel,2,$10.98,21.95,CN,9814,0.63,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/09/19,1748,https://drive.google.com/open?id=1EVQQO2jJyAO33NfyxkOr4-biKL-73C_y,https://drive.google.com/open?id=1RJa4sJrPneD-BMTernO9spFUQwqpdo7w,1748_080919_9,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,1,$55.95,55.95,CN,9814,0.31,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/10/19,1748,https://drive.google.com/open?id=1I1dn_SyoYGyHznvBkPtVHvbpFbZEbI5c,https://drive.google.com/open?id=1NjvArZfUxogeCiU-xr2eazqFOSN78uyK,1748_081019_15,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,RET TO CAN - Jed North Apparel,2,$18.95,37.9,CN,9814,0.56,LBR,1,USD,,,,Curious Beaver Inc.,1 Steelcase Rd W,Unit 35,Markham,ON,L3R 0T3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
